qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

0.13           1              1                   CT.QCD                                                               -65180.6221 +-          3.5589
0.13           1              1                   RT.QCD                                                                69918.5596 +-          4.9732

0.13           2              0.5                 NLO.QT.32                                                             19806.9216 +-          4.6542
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.13           2              0.5                 VT.QCD                                                                16060.5910 +-          1.7622
0.13           2              0.5                 CT.QCD                                                               -45373.4667 +-          2.4862
0.13           2              0.5                 RT.QCD                                                                49119.7973 +-          3.5177

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

0.14           0.5            2                   NLO.QT.32                                                             28729.1498 +-          9.1443
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.14           0.5            2                   VT.QCD                                                                22587.7679 +-          2.4916
0.14           0.5            2                   CT.QCD                                                               -93438.1750 +-          5.1085
0.14           0.5            2                   RT.QCD                                                                99579.5569 +-          7.1634

0.14           1              1                   NLO.QT.32                                                             23979.5705 +-          6.3969
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.14           1              1                   VT.QCD                                                                19237.8432 +-          2.1018
0.14           1              1                   CT.QCD                                                               -63776.7745 +-          3.4860
0.14           1              1                   RT.QCD                                                                68518.5017 +-          4.9347

0.14           2              0.5                 NLO.QT.32                                                             19809.4053 +-          4.6078
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.14           2              0.5                 VT.QCD                                                                16060.5910 +-          1.7622
0.14           2              0.5                 CT.QCD                                                               -44402.8293 +-          2.4358
0.14           2              0.5                 RT.QCD                                                                48151.6437 +-          3.4919

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

0.15           0.5            2                   NLO.QT.32                                                             28734.7707 +-          9.0464
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.15           0.5            2                   VT.QCD                                                                22587.7679 +-          2.4916
0.15           0.5            2                   CT.QCD                                                               -91530.8281 +-          5.0092
0.15           0.5            2                   RT.QCD                                                                97677.8309 +-          7.1089

0.15           1              1                   NLO.QT.32                                                             23983.3495 +-          6.3329
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.15           1              1                   VT.QCD                                                                19237.8432 +-          2.1018
0.15           1              1                   CT.QCD                                                               -62483.5489 +-          3.4189
0.15           1              1                   RT.QCD                                                                67229.0551 +-          4.8989

0.15           2              0.5                 NLO.QT.32                                                             19811.9775 +-          4.5652
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.15           2              0.5                 VT.QCD                                                                16060.5910 +-          1.7622
0.15           2              0.5                 CT.QCD                                                               -43508.6081 +-          2.3893
0.15           2              0.5                 RT.QCD                                                                47259.9946 +-          3.4680

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

0.16           0.5            2                   NLO.QT.32                                                             28741.9737 +-          8.9556
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.16           0.5            2                   VT.QCD                                                                22587.7679 +-          2.4916
0.16           0.5            2                   CT.QCD                                                               -89764.4203 +-          4.9173
0.16           0.5            2                   RT.QCD                                                                95918.6261 +-          7.0579

0.16           1              1                   NLO.QT.32                                                             23988.1274 +-          6.2735
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.16           1              1                   VT.QCD                                                                19237.8432 +-          2.1018
0.16           1              1                   CT.QCD                                                               -61285.7979 +-          3.3567
0.16           1              1                   RT.QCD                                                                66036.0820 +-          4.8654

0.16           2              0.5                 NLO.QT.32                                                             19815.1890 +-          4.5257
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.16           2              0.5                 VT.QCD                                                                16060.5910 +-          1.7622
0.16           2              0.5                 CT.QCD                                                               -42680.3431 +-          2.3462
0.16           2              0.5                 RT.QCD                                                                46434.9411 +-          3.4456

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

0.17           0.5            2                   NLO.QT.32                                                             28748.3297 +-          8.8709
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.17           0.5            2                   VT.QCD                                                                22587.7679 +-          2.4916
0.17           0.5            2                   CT.QCD                                                               -88120.8044 +-          4.8318
0.17           0.5            2                   RT.QCD                                                                94281.3663 +-          7.0099

0.17           1              1                   NLO.QT.32                                                             23992.3760 +-          6.2182
-----------------------------------------------------------------------------------------------------------------------------------------------------
