# pt_bb-mbbZ500        central        num_err    min (scale)        num_err    max (scale)        num_err
            890 -0.00049951031  0.00035318947  -0.0012411574  0.00089032037 -0.00014553005  0.00012030909
            895  0.00049950396  0.00035318497  0.00034941176  0.00024715002  0.00073855008   0.0005225408
            900  0.00024975516  0.00024974267  0.00016433704  0.00016432882  0.00039486804   0.0003948483
            905  0.00024975516  0.00024974267  0.00015329093  0.00015328327  0.00042747218  0.00042745081
            910  0.00049950396  0.00035318497  0.00031950397  0.00022593057  0.00081610808  0.00057709763
            915  0.00024975516  0.00024974267  0.00018130366  0.00018129459  0.00035275676  0.00035273911
            920              0              0              0              0              0              0
            925              0              0              0              0              0              0
            930 -0.00024975516  0.00024974267 -0.00044356757  0.00044354537 -0.00014576789   0.0001457606
            935  0.00074927185  0.00043257067  0.00058835613  0.00034155274  0.00094696979  0.00055417903
            940              0              0              0              0              0              0
            945  0.00024975516  0.00024974267  0.00018192051  0.00018191141  0.00035308744  0.00035306979
            950              0              0              0              0              0              0
            955  0.00033697297  0.00033695612  0.00026030524  0.00026029222  0.00044637838  0.00044635606
            960 -0.00024975516  0.00024974267 -0.00046879491  0.00046877148 -0.00013579015  0.00013578336
            965              0              0              0              0              0              0
            970              0              0              0              0              0              0
            975              0              0              0              0              0              0
            980              0              0              0              0              0              0
            985              0              0              0              0              0              0
            990              0              0              0              0              0              0
            995              0              0              0              0              0              0
           1000              0              0              0              0              0              0
