#m_bbZ-mbbZ1000        central        num_err    min (scale)        num_err    max (scale)        num_err
            240       53.75422      0.2746813      43.852319       0.220851      67.634412     0.37091458
            241       53.40777     0.27447493      43.545939     0.22077643      67.276423     0.37140914
            242      53.079169     0.27287132      43.274501     0.22111883      66.849175     0.37123088
            243      52.655006     0.27486043       42.88515     0.21897219      66.456174     0.36821345
            244      52.129464        0.27061      42.540733     0.21685887      65.605437     0.36218612
            245      51.134594     0.26829811       41.68686     0.21483858      64.418555      0.3591809
            246      50.677137     0.26699925      41.366429     0.21712054      63.729305     0.36584575
            247      50.118468     0.26704638       40.89404     0.21365377       63.07159     0.35779386
            248      49.452555     0.26383878      40.369131     0.21149391       62.20432     0.35272669
            249      49.516828     0.26361558      40.391405     0.21161473      62.336323     0.35267813
            250      49.103589     0.26269869      40.164955     0.23360277      61.599372     0.40457751
            251      47.978589     0.25995409      39.139439       0.208293      60.385843     0.34808104
            252      48.339338     0.26265078      39.455064     0.21316046      60.798578     0.35835085
            253      47.599762     0.26194361      38.786493     0.20911087      60.001661     0.34972646
            254      47.000305      0.2568604      38.346576     0.20597848      59.144443     0.34420182
            255      46.386594     0.25541394      37.992372     0.22864759      58.076531     0.40167731
            256      46.228892     0.25471446      37.767933     0.20494209       58.06683      0.3433781
            257      45.894851     0.25299889      37.464276     0.20345729      57.728025     0.33777888
            258      45.236184     0.25193986      37.006626     0.20561705      56.747023     0.34570401
            259      44.810416     0.25030677      36.564704     0.20093447       56.39494      0.3331883
            260      44.382359     0.24896912       36.25412     0.20099544       55.76245     0.33391716
            261      43.504424     0.24664681      35.532746     0.19807246      54.656467     0.32896696
            262      43.503436     0.24965088      35.511495     0.20008594      54.715217     0.33288096
            263       43.36502     0.25170913      35.400791     0.20158988       54.52749     0.33767396
            264      42.340294     0.24471656      34.562041     0.19621222      53.268713     0.32661312
            265       42.44537     0.24408821      34.659267     0.19605121      53.360835     0.32511502
            266      42.034197     0.24257565      34.327492     0.19449376      52.840456     0.32202269
            267      41.750294     0.24245151      34.067754     0.19442526      52.541321     0.32286937
            268      40.645857     0.23890728      33.232308     0.19147749      51.022154     0.31842364
            269      40.855417     0.24031463      33.414514      0.1931402      51.248915     0.32141018
            270      40.004731     0.23666463      32.662577     0.19203955      50.313233       0.319529
            271      40.171791      0.2373109      32.810007     0.19072026      50.500577     0.31502562
            272      39.464088     0.23486271      32.298881     0.18927008      49.465048     0.31276273
            273      39.437895     0.23483998       32.30796     0.18915756      49.388845     0.31192182
            274      39.440233     0.23727934      32.248729     0.19038479      49.507512     0.31554376
            275      38.852156     0.23272348      31.747502     0.18712141      48.835359     0.30941053
            276      38.028663     0.23031628      31.070929     0.18716059      47.778329     0.31063653
