#   m_bbZ-ptj60        central        num_err    min (scale)        num_err    max (scale)        num_err
            257      22.702804     0.44430576      22.702804     0.44430576      22.702804     0.44430576
            258      21.687101     0.42335998      21.687101     0.42335998      21.687101     0.42335998
            259      22.482257     0.55361094      22.482257     0.55361094      22.482257     0.55361094
            260      21.091903     0.39463813      21.091903     0.39463813      21.091903     0.39463813
            261      21.341501     0.46605737      21.341501     0.46605737      21.341501     0.46605737
            262      21.299583     0.37234894      21.299583     0.37234894      21.299583     0.37234894
            263      21.558743      0.4979334      21.558743      0.4979334      21.558743      0.4979334
            264      21.328714     0.45901649      21.328714     0.45901649      21.328714     0.45901649
            265      20.980893     0.46735963      20.980893     0.46735963      20.980893     0.46735963
            266      20.985824     0.47310922      20.985824     0.47310922      20.985824     0.47310922
            267      19.780128     0.38722809      19.780128     0.38722809      19.780128     0.38722809
            268      19.754183      0.4174288      19.754183      0.4174288      19.754183      0.4174288
            269      19.660896     0.35338797      19.660896     0.35338797      19.660896     0.35338797
            270      19.678293     0.43082097      19.678293     0.43082097      19.678293     0.43082097
            271      19.532754      0.3994511      19.532754      0.3994511      19.532754      0.3994511
            272      19.777595      0.4509106      19.777595      0.4509106      19.777595      0.4509106
            273      19.462547     0.42213905      19.462547     0.42213905      19.462547     0.42213905
            274      20.168884     0.48822189      20.168884     0.48822189      20.168884     0.48822189
            275      19.031838     0.36643513      19.031838     0.36643513      19.031838     0.36643513
            276      18.702785     0.49509217      18.702785     0.49509217      18.702785     0.49509217
            277      19.020658     0.42126028      19.020658     0.42126028      19.020658     0.42126028
            278      18.688426     0.42305394      18.688426     0.42305394      18.688426     0.42305394
            279       18.55249     0.50343897       18.55249     0.50343897       18.55249     0.50343897
            280      17.989792     0.32769157      17.989792     0.32769157      17.989792     0.32769157
            281      18.230481     0.41279758      18.230481     0.41279758      18.230481     0.41279758
            282      18.383841     0.45159373      18.383841     0.45159373      18.383841     0.45159373
            283      17.735365      0.4403291      17.735365      0.4403291      17.735365      0.4403291
            284      17.981786     0.41603644      17.981786     0.41603644      17.981786     0.41603644
            285      17.543598     0.36270548      17.543598     0.36270548      17.543598     0.36270548
            286       17.77051     0.39350392       17.77051     0.39350392       17.77051     0.39350392
            287      17.602435     0.43383083      17.602435     0.43383083      17.602435     0.43383083
            288      17.230036     0.44412404      17.230036     0.44412404      17.230036     0.44412404
            289      16.896053     0.35429034      16.896053     0.35429034      16.896053     0.35429034
            290      16.326596     0.37208651      16.326596     0.37208651      16.326596     0.37208651
            291      16.650319     0.42828773      16.650319     0.42828773      16.650319     0.42828773
            292      16.238928      0.3535925      16.238928      0.3535925      16.238928      0.3535925
            293      17.048225     0.46402512      17.048225     0.46402512      17.048225     0.46402512
            294      15.762436     0.32888599      15.762436     0.32888599      15.762436     0.32888599
            295      16.516533     0.40623845      16.516533     0.40623845      16.516533     0.40623845
            296      15.761228     0.32583094      15.761228     0.32583094      15.761228     0.32583094
            297      16.714763      0.5044305      16.714763      0.5044305      16.714763      0.5044305
            298      16.061112     0.52206067      16.061112     0.52206067      16.061112     0.52206067
            299       15.48958     0.38926252       15.48958     0.38926252       15.48958     0.38926252
            300      15.420451     0.39247866      15.420451     0.39247866      15.420451     0.39247866
            301      14.892257     0.32106697      14.892257     0.32106697      14.892257     0.32106697
            302      15.011372      0.3800537      15.011372      0.3800537      15.011372      0.3800537
            303      15.391749     0.34529424      15.391749     0.34529424      15.391749     0.34529424
            304       14.55356     0.43040944       14.55356     0.43040944       14.55356     0.43040944
            305      15.118558     0.33619976      15.118558     0.33619976      15.118558     0.33619976
            306      15.136211     0.40787598      15.136211     0.40787598      15.136211     0.40787598
            307      14.451772     0.38974568      14.451772     0.38974568      14.451772     0.38974568
            308      14.789192     0.33445375      14.789192     0.33445375      14.789192     0.33445375
            309      14.489466     0.34516652      14.489466     0.34516652      14.489466     0.34516652
            310      14.154343     0.33445916      14.154343     0.33445916      14.154343     0.33445916
            311      14.474476     0.43074244      14.474476     0.43074244      14.474476     0.43074244
            312      14.087931       0.316585      14.087931       0.316585      14.087931       0.316585
            313      14.584723     0.43317943      14.584723     0.43317943      14.584723     0.43317943
            314      13.831452     0.41188976      13.831452     0.41188976      13.831452     0.41188976
            315      13.644742     0.30275514      13.644742     0.30275514      13.644742     0.30275514
            316      13.921718     0.36447553      13.921718     0.36447553      13.921718     0.36447553
            317      13.620061     0.38939989      13.620061     0.38939989      13.620061     0.38939989
            318      13.647946     0.43242214      13.647946     0.43242214      13.647946     0.43242214
            319      13.121045     0.28744503      13.121045     0.28744503      13.121045     0.28744503
            320      14.105379     0.46657079      14.105379     0.46657079      14.105379     0.46657079
            321      13.031695     0.32389259      13.031695     0.32389259      13.031695     0.32389259
            322      12.282579     0.28360382      12.282579     0.28360382      12.282579     0.28360382
            323      12.934444     0.28767763      12.934444     0.28767763      12.934444     0.28767763
            324      12.714224     0.35155165      12.714224     0.35155165      12.714224     0.35155165
            325      12.342081     0.26444263      12.342081     0.26444263      12.342081     0.26444263
            326      13.009804     0.42796123      13.009804     0.42796123      13.009804     0.42796123
            327      13.062678     0.39586722      13.062678     0.39586722      13.062678     0.39586722
            328      12.344147     0.33035284      12.344147     0.33035284      12.344147     0.33035284
            329      12.689567     0.30298077      12.689567     0.30298077      12.689567     0.30298077
            330      12.027684      0.3502259      12.027684      0.3502259      12.027684      0.3502259
            331      12.436842     0.39062155      12.436842     0.39062155      12.436842     0.39062155
            332      12.012992     0.28339247      12.012992     0.28339247      12.012992     0.28339247
            333      11.849603     0.31075862      11.849603     0.31075862      11.849603     0.31075862
            334      12.232346     0.43375844      12.232346     0.43375844      12.232346     0.43375844
            335      12.016741     0.37151519      12.016741     0.37151519      12.016741     0.37151519
            336      11.974239     0.37169763      11.974239     0.37169763      11.974239     0.37169763
            337      11.341943      0.2977305      11.341943      0.2977305      11.341943      0.2977305
            338      11.503814     0.28129202      11.503814     0.28129202      11.503814     0.28129202
            339      11.894091     0.32410285      11.894091     0.32410285      11.894091     0.32410285
            340      11.150028     0.26341774      11.150028     0.26341774      11.150028     0.26341774
            341      11.227703     0.28668497      11.227703     0.28668497      11.227703     0.28668497
            342      10.711512     0.25825413      10.711512     0.25825413      10.711512     0.25825413
            343      11.595685     0.31556074      11.595685     0.31556074      11.595685     0.31556074
            344      10.781378     0.30595075      10.781378     0.30595075      10.781378     0.30595075
            345        11.1166     0.42010834        11.1166     0.42010834        11.1166     0.42010834
            346      10.239645     0.26617514      10.239645     0.26617514      10.239645     0.26617514
            347      11.326352     0.35724048      11.326352     0.35724048      11.326352     0.35724048
            348      10.878538     0.33521955      10.878538     0.33521955      10.878538     0.33521955
            349      10.929107     0.29038553      10.929107     0.29038553      10.929107     0.29038553
            350      11.764814      0.4511241      11.764814      0.4511241      11.764814      0.4511241
            351      11.013338     0.37240489      11.013338     0.37240489      11.013338     0.37240489
            352      10.582996     0.31021656      10.582996     0.31021656      10.582996     0.31021656
            353      9.8327534      0.2209344      9.8327534      0.2209344      9.8327534      0.2209344
            354      10.461925     0.34034796      10.461925     0.34034796      10.461925     0.34034796
            355      10.579235     0.39836678      10.579235     0.39836678      10.579235     0.39836678
            356      10.217222     0.25402751      10.217222     0.25402751      10.217222     0.25402751
            357      10.391536     0.35874125      10.391536     0.35874125      10.391536     0.35874125
            358      10.017929     0.31890658      10.017929     0.31890658      10.017929     0.31890658
            359      10.473994     0.44253799      10.473994     0.44253799      10.473994     0.44253799
            360      9.7457518     0.24064578      9.7457518     0.24064578      9.7457518     0.24064578
            361      10.125443      0.2945753      10.125443      0.2945753      10.125443      0.2945753
            362      9.8881971     0.31546783      9.8881971     0.31546783      9.8881971     0.31546783
            363      9.4860828     0.28504931      9.4860828     0.28504931      9.4860828     0.28504931
            364      9.8943681     0.31050481      9.8943681     0.31050481      9.8943681     0.31050481
            365      10.243996     0.43881593      10.243996     0.43881593      10.243996     0.43881593
            366      9.5672049     0.32509189      9.5672049     0.32509189      9.5672049     0.32509189
            367      9.3527706     0.27068229      9.3527706     0.27068229      9.3527706     0.27068229
            368      9.8317483     0.33134885      9.8317483     0.33134885      9.8317483     0.33134885
            369      9.4370808     0.32876914      9.4370808     0.32876914      9.4370808     0.32876914
            370      8.9786718     0.28266386      8.9786718     0.28266386      8.9786718     0.28266386
            371      9.6186558     0.44048274      9.6186558     0.44048274      9.6186558     0.44048274
            372       8.957345     0.25483771       8.957345     0.25483771       8.957345     0.25483771
            373      9.1924988     0.42423151      9.1924988     0.42423151      9.1924988     0.42423151
            374      8.8694313     0.27470272      8.8694313     0.27470272      8.8694313     0.27470272
            375      9.2357891     0.35547193      9.2357891     0.35547193      9.2357891     0.35547193
            376      8.5042624     0.20377674      8.5042624     0.20377674      8.5042624     0.20377674
            377      9.2240097     0.30238177      9.2240097     0.30238177      9.2240097     0.30238177
            378      8.7425154     0.38382267      8.7425154     0.38382267      8.7425154     0.38382267
            379      9.2078011     0.43841498      9.2078011     0.43841498      9.2078011     0.43841498
            380      8.8100703     0.24523967      8.8100703     0.24523967      8.8100703     0.24523967
            381      8.9700131     0.37604913      8.9700131     0.37604913      8.9700131     0.37604913
            382      8.3831706     0.26305662      8.3831706     0.26305662      8.3831706     0.26305662
            383      8.3262134      0.2163898      8.3262134      0.2163898      8.3262134      0.2163898
            384      8.2936773     0.25883344      8.2936773     0.25883344      8.2936773     0.25883344
            385      8.4464143     0.27803659      8.4464143     0.27803659      8.4464143     0.27803659
            386      8.5951835      0.2713523      8.5951835      0.2713523      8.5951835      0.2713523
            387      8.3579682     0.32806893      8.3579682     0.32806893      8.3579682     0.32806893
