qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)
qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.1            0.5            2                   NLO.QCD.QT                                                           28700.09108 +-         9.63453
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.1            0.5            2                   ..a00                                                                         0. +-              0.
0.1            0.5            2                   NLO.QT.32                                                            28700.09108 +-         9.63453

0.1            1              1                   NLO.QCD.QT                                                           23960.16720 +-         6.71806
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.1            1              1                   ..a00                                                                         0. +-              0.
0.1            1              1                   NLO.QT.32                                                            23960.16720 +-         6.71806

0.1            2              0.5                 NLO.QCD.QT                                                           19796.26690 +-         4.82190
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.1            2              0.5                 ..a00                                                                         0. +-              0.
0.1            2              0.5                 NLO.QT.32                                                            19796.26690 +-         4.82190

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.11           0.5            2                   NLO.QCD.QT                                                           28708.59129 +-         9.49360
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.11           0.5            2                   ..a00                                                                         0. +-              0.
0.11           0.5            2                   NLO.QT.32                                                            28708.59129 +-         9.49360

0.11           1              1                   NLO.QCD.QT                                                           23965.90841 +-         6.62566
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.11           1              1                   ..a00                                                                         0. +-              0.
0.11           1              1                   NLO.QT.32                                                            23965.90841 +-         6.62566

0.11           2              0.5                 NLO.QCD.QT                                                           19800.20877 +-         4.76024
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.11           2              0.5                 ..a00                                                                         0. +-              0.
0.11           2              0.5                 NLO.QT.32                                                            19800.20877 +-         4.76024

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.12           0.5            2                   NLO.QCD.QT                                                           28716.76572 +-         9.36648
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.12           0.5            2                   ..a00                                                                         0. +-              0.
0.12           0.5            2                   NLO.QT.32                                                            28716.76572 +-         9.36648

0.12           1              1                   NLO.QCD.QT                                                           23971.44184 +-         6.54238
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.12           1              1                   ..a00                                                                         0. +-              0.
0.12           1              1                   NLO.QT.32                                                            23971.44184 +-         6.54238

0.12           2              0.5                 NLO.QCD.QT                                                           19804.01760 +-         4.70471
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.12           2              0.5                 ..a00                                                                         0. +-              0.
0.12           2              0.5                 NLO.QT.32                                                            19804.01760 +-         4.70471

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.13           0.5            2                   NLO.QCD.QT                                                           28723.31757 +-         9.25061
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.13           0.5            2                   ..a00                                                                         0. +-              0.
0.13           0.5            2                   NLO.QT.32                                                            28723.31757 +-         9.25061

0.13           1              1                   NLO.QCD.QT                                                           23975.78074 +-         6.46650
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.13           1              1                   ..a00                                                                         0. +-              0.
0.13           1              1                   NLO.QT.32                                                            23975.78074 +-         6.46650

0.13           2              0.5                 NLO.QCD.QT                                                           19806.92158 +-         4.65416
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.13           2              0.5                 ..a00                                                                         0. +-              0.
