qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.07           0.5            2                   NNLO.QT-CS.42            woVT2                                        7326.13604 +-        21.47092
0.07           0.5            2                   NNLO.QT-CS.42            onlyVT2.noH2                                -9131.14513 +-         2.76479
0.07           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                         12369.43247 +-         8.49266
0.07           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                         19452.91115 +-        31.94798
0.07           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -4567.38084 +-         6.84361

0.07           1              1                   dNNLO.QCD                                                            23623.94700 +-        25.67050
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.07           1              1                   NNLO.QT-CS.42            woVT2                                        6300.56308 +-        14.12820
0.07           1              1                   NNLO.QT-CS.42            onlyVT2.noH2                                  705.08045 +-         0.40129
0.07           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                          7578.42039 +-         5.16571
0.07           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                         11904.81719 +-        20.28999
0.07           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -2864.93410 +-         4.56503

0.07           2              0.5                 dNNLO.QCD                                                            21329.36414 +-        17.38458
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.07           2              0.5                 NNLO.QT-CS.42            woVT2                                        5428.80177 +-         9.85835
0.07           2              0.5                 NNLO.QT-CS.42            onlyVT2.noH2                                 5442.92239 +-         1.64933
0.07           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                          4793.12437 +-         3.25628
0.07           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                          7519.96474 +-        13.48014
0.07           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -1855.44913 +-         3.16211

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.08           0.5            2                   dNNLO.QCD                                                            25433.56072 +-        39.90112
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.08           0.5            2                   NNLO.QT-CS.42            woVT2                                        7309.74306 +-        21.09080
0.08           0.5            2                   NNLO.QT-CS.42            onlyVT2.noH2                                -9131.14513 +-         2.76479
0.08           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                         12369.43247 +-         8.49266
0.08           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                         19452.91115 +-        31.94798
0.08           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -4567.38084 +-         6.84361

0.08           1              1                   dNNLO.QCD                                                            23615.33679 +-        25.63161
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.08           1              1                   NNLO.QT-CS.42            woVT2                                        6291.95287 +-        14.05741
0.08           1              1                   NNLO.QT-CS.42            onlyVT2.noH2                                  705.08045 +-         0.40129
0.08           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                          7578.42039 +-         5.16571
0.08           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                         11904.81719 +-        20.28999
0.08           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -2864.93410 +-         4.56503

0.08           2              0.5                 dNNLO.QCD                                                            21324.84572 +-        17.41506
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.08           2              0.5                 NNLO.QT-CS.42            woVT2                                        5424.28335 +-         9.91198
0.08           2              0.5                 NNLO.QT-CS.42            onlyVT2.noH2                                 5442.92239 +-         1.64933
0.08           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                          4793.12437 +-         3.25628
0.08           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                          7519.96474 +-        13.48014
0.08           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -1855.44913 +-         3.16211

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.09           0.5            2                   dNNLO.QCD                                                            25399.32114 +-        39.22911
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.09           0.5            2                   NNLO.QT-CS.42            woVT2                                        7275.50349 +-        19.79004
0.09           0.5            2                   NNLO.QT-CS.42            onlyVT2.noH2                                -9131.14513 +-         2.76479
0.09           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                         12369.43247 +-         8.49266
0.09           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                         19452.91115 +-        31.94798
0.09           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -4567.38084 +-         6.84361

0.09           1              1                   dNNLO.QCD                                                            23594.80531 +-        25.15398
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.09           1              1                   NNLO.QT-CS.42            woVT2                                        6271.42138 +-        13.16640
0.09           1              1                   NNLO.QT-CS.42            onlyVT2.noH2                                  705.08045 +-         0.40129
0.09           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                          7578.42039 +-         5.16571
0.09           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                         11904.81719 +-        20.28999
0.09           1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -2864.93410 +-         4.56503

0.09           2              0.5                 dNNLO.QCD                                                            21312.08685 +-        17.06782
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.09           2              0.5                 NNLO.QT-CS.42            woVT2                                        5411.52448 +-         9.28836
0.09           2              0.5                 NNLO.QT-CS.42            onlyVT2.noH2                                 5442.92239 +-         1.64933
0.09           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                          4793.12437 +-         3.25628
0.09           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                          7519.96474 +-        13.48014
0.09           2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -1855.44913 +-         3.16211

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.1            0.5            2                   dNNLO.QCD                                                            25391.32860 +-        38.63832
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.1            0.5            2                   NNLO.QT-CS.42            woVT2                                        7267.51095 +-        18.59147
0.1            0.5            2                   NNLO.QT-CS.42            onlyVT2.noH2                                -9131.14513 +-         2.76479
0.1            0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                         12369.43247 +-         8.49266
0.1            0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                         19452.91115 +-        31.94798
0.1            0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -4567.38084 +-         6.84361

0.1            1              1                   dNNLO.QCD                                                            23590.31098 +-        24.80563
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.1            1              1                   NNLO.QT-CS.42            woVT2                                        6266.92705 +-        12.48801
0.1            1              1                   NNLO.QT-CS.42            onlyVT2.noH2                                  705.08045 +-         0.40129
0.1            1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                          7578.42039 +-         5.16571
0.1            1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                         11904.81719 +-        20.28999
0.1            1              1                   NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -2864.93410 +-         4.56503

0.1            2              0.5                 dNNLO.QCD                                                            21309.41358 +-        16.85430
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.1            2              0.5                 NNLO.QT-CS.42            woVT2                                        5408.85121 +-         8.88991
0.1            2              0.5                 NNLO.QT-CS.42            onlyVT2.noH2                                 5442.92239 +-         1.64933
0.1            2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                          4793.12437 +-         3.25628
0.1            2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                          7519.96474 +-        13.48014
0.1            2              0.5                 NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -1855.44913 +-         3.16211

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.11           0.5            2                   dNNLO.QCD                                                            25371.15604 +-        38.45153
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.11           0.5            2                   NNLO.QT-CS.42            woVT2                                        7247.33839 +-        18.20006
0.11           0.5            2                   NNLO.QT-CS.42            onlyVT2.noH2                                -9131.14513 +-         2.76479
0.11           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.M1M1                         12369.43247 +-         8.49266
0.11           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.M2M0                         19452.91115 +-        31.94798
0.11           0.5            2                   NNLO.QT-CS.42            onlyVT2.onlyH2.soft                         -4567.38084 +-         6.84361

0.11           1              1                   dNNLO.QCD                                                            23578.02023 +-        24.69072
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.11           1              1                   NNLO.QT-CS.42            woVT2                                        6254.63630 +-        12.25817
0.11           1              1                   NNLO.QT-CS.42            onlyVT2.noH2                                  705.08045 +-         0.40129
