#   m_bbZ-ptj30        central        num_err    min (scale)        num_err    max (scale)        num_err
            238      23.384549     0.19402476      19.055082     0.15851269      29.384731     0.24601638
            239       23.51552     0.19411758      19.152717     0.15828047      29.565173     0.24543954
            240      23.409002     0.19781411      19.055329     0.16091846      29.449083     0.25062328
            241      23.162552     0.19195015      18.826989     0.15626576      29.188138      0.2430896
            242      22.771369     0.19617399      18.523131     0.15943712      28.669917     0.24878094
            243      22.392467     0.22709378      18.212496     0.18227057      28.196124     0.29177293
            244      22.359264     0.19440083      18.170403     0.15783169      28.181125     0.24681328
            245       21.93961     0.18793573       17.84256     0.15301632      27.629097     0.23794922
            246      21.953994     0.19590054       17.84512     0.15887409      27.662853     0.24931995
            247        21.5029     0.18599826       17.48676     0.15147006       27.07975     0.23552654
            248      21.615945      0.1868814      17.578443      0.1520933      27.222029     0.23681839
            249      21.189037     0.19146492      17.230668     0.15546558       26.68488      0.2433419
            250      20.750019     0.18422273      16.859664     0.14977175      26.156546     0.23360038
            251      21.115417     0.18435385      17.132262     0.14977351      26.659904     0.23410722
            252      20.613085     0.18196824      16.739988     0.14796479      25.998241     0.23082669
            253      20.681623     0.20739828      16.783749     0.16689988      26.104954     0.26539806
            254      20.381459     0.18154743      16.540975     0.14745772      25.725263     0.23051326
            255      20.207336     0.17961517      16.394611     0.14591369      25.513773     0.22794528
            256       19.88013       0.180587      16.130091     0.14658301      25.098309     0.22941531
            257      19.798037     0.17973362      16.069804     0.14659364      24.983665     0.23031535
            258      19.862162     0.18850593      16.116556     0.15255444      25.073331     0.24050112
            259      19.572818     0.17846069      15.876271     0.14487359      24.717536     0.22658888
            260      19.262121     0.17548738      15.634697     0.14265917      24.306473     0.22253249
            261      19.178236      0.1747533      15.555964     0.14233835      24.220281     0.22251858
            262      18.620154     0.18746981      15.105609     0.15135043      23.509812     0.23936389
            263      18.709623      0.1722228      15.173915     0.14015319      23.630158     0.21867447
            264       18.48204     0.17149285      14.968686     0.13909228      23.378589     0.21792976
            265      18.189743      0.1706606      14.741917      0.1385378       22.99109      0.2167014
            266      18.770437     0.22195267      15.212507     0.17759524      23.723937     0.28523043
            267      18.238225     0.17042915      14.764035     0.13815815      23.081986     0.21737264
            268       17.98113     0.17122713      14.554119     0.13870264      22.759118     0.21794238
            269      18.058057     0.17328389      14.640764      0.1404479      22.813633      0.2203901
            270      17.803978     0.16856523      14.403278     0.13650198      22.547464      0.2145948
            271      17.519012     0.17017129      14.177151     0.13777762      22.178576     0.21660104
            272      17.205567     0.20486851      13.914025     0.16296231      21.798469      0.2656023
            273      17.295997     0.16580095      14.005461     0.13445768      21.880789     0.21136775
            274      17.217583     0.16880848       13.91812       0.136392      21.822274     0.21541089
            275      17.065741     0.16463906      13.830231     0.13363623      21.568851       0.209098
            276      16.782985     0.16353059      13.582009     0.13251912      21.244658     0.20801258
            277      16.739106     0.16304234      13.532373     0.13206694      21.213292     0.20751735
            278      16.765532     0.17682027      13.558028       0.142464      21.238665     0.22598206
            279      16.413123     0.16287878      13.276006     0.13189918      20.786944     0.20734851
            280      16.062929     0.16068765      12.984607      0.1300888      20.357381      0.2046209
            281      16.140285     0.16164249      13.040769     0.13075071      20.466438      0.2059531
            282      16.123046      0.1605349      13.060022      0.1306303      20.386405     0.20489531
            283      15.825081     0.15964203      12.785776     0.12908542       20.06661     0.20357065
            284      15.904493     0.15914895       12.86678     0.12895036      20.137768     0.20247014
            285      16.091762     0.16091526      13.012264     0.13017641      20.384984     0.20535707
            286      15.337413     0.15608272      12.383337     0.12623205      19.462217     0.19908211
            287      15.620173     0.16173812      12.610448     0.13040323      19.822477     0.20682186
            288      15.333955       0.156774      12.410282     0.12713918       19.40524     0.19970383
            289      15.261196     0.15723362      12.323619     0.12707812      19.361276     0.20066145
            290      15.213188      0.1557774      12.289097     0.12595141      19.292624     0.19862282
            291      14.872855      0.1547217      12.005872     0.12507148         18.875      0.1972974
            292      14.802429     0.15347077      11.946728     0.12404779      18.789554      0.1956015
            293      14.547388     0.15422943      11.755661     0.12460495       18.43958     0.19690157
            294      14.558817     0.15294406      11.744094     0.12364652      18.485405     0.19498975
            295      14.369991     0.15103707       11.60357     0.12231414      18.217303     0.19226781
            296      14.369195     0.15119721      11.588252     0.12227153      18.235815     0.19265573
            297      13.996673     0.15475245       11.29857     0.12503302      17.751406     0.19773523
            298      13.798987     0.14799859       11.14192     0.11988116      17.495945     0.18840588
            299      14.179728     0.15650903      11.422742     0.12596309      18.016299     0.20012009
            300      13.786991     0.14931941      11.120992     0.12072803      17.489322     0.19033018
            301      13.508497     0.14660591      10.882939     0.11842235      17.149266     0.18691841
            302      13.738115      0.1480014      11.049954      0.1193603      17.469609     0.18886006
            303      13.555851     0.14890521      10.910667     0.12002208      17.219157     0.19000679
            304      13.869641     0.15281085      11.160921     0.12305944      17.619327     0.19522538
            305      13.337143     0.14563965      10.751188     0.11772243      16.911481     0.18569908
            306      13.142322     0.14605248      10.587877     0.11788941      16.675175     0.18644949
            307      13.155485     0.14667065      10.571711     0.11806208      16.734714     0.18762441
            308      12.949447     0.14423192      10.418515     0.11637658      16.452023     0.18479045
