           bin (m_Wbb)   qTcut           order/list                                                                 dsigma +-            error

       130         140   0.5             NNLO.QT-CS.42                 woVT2                                          -59.65302 +-          2.78289
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    63.60973 +-          0.13219
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            622.74718 +-          0.56284
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                            989.70578 +-          4.51317
       130         140   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -215.63137 +-          1.06932

===================================================================================================================================================

       140         150   extrapolation   dNNLO.QCD                                                                   1171.74008 +-          6.57322
---------------------------------------------------------------------------------------------------------------------------------------------------
       140         150   extrapolation   NNLO.QT-CS.42                 woVT2                                            2.01413 +-          5.22631
       140         150   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    48.91933 +-          0.11474
       140         150   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            509.59323 +-          0.53933
       140         150   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                            807.11024 +-          3.79341
       140         150   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -195.89686 +-          1.09492

       140         150   0.01            dNNLO.QCD                                                              1165.13761 +-          8.68230
---------------------------------------------------------------------------------------------------------------------------------------------------
       140         150   0.01            NNLO.QT-CS.42                 woVT2                                           -4.58834 +-          7.71294
       140         150   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    48.91933 +-          0.11474
       140         150   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            509.59323 +-          0.53933
       140         150   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                            807.11024 +-          3.79341
       140         150   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -195.89686 +-          1.09492

       140         150   0.05            dNNLO.QCD                                                              1172.85769 +-          5.61072
---------------------------------------------------------------------------------------------------------------------------------------------------
       140         150   0.05            NNLO.QT-CS.42                 woVT2                                            3.13174 +-          3.94808
       140         150   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    48.91933 +-          0.11474
       140         150   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            509.59323 +-          0.53933
       140         150   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                            807.11024 +-          3.79341
       140         150   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -195.89686 +-          1.09492

       140         150   0.1             dNNLO.QCD                                                              1169.31879 +-          5.28930
---------------------------------------------------------------------------------------------------------------------------------------------------
       140         150   0.1             NNLO.QT-CS.42                 woVT2                                           -0.40716 +-          3.47617
       140         150   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    48.91933 +-          0.11474
       140         150   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            509.59323 +-          0.53933
       140         150   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                            807.11024 +-          3.79341
       140         150   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -195.89686 +-          1.09492

       140         150   0.15            dNNLO.QCD                                                              1165.02281 +-          5.02353
---------------------------------------------------------------------------------------------------------------------------------------------------
       140         150   0.15            NNLO.QT-CS.42                 woVT2                                           -4.70314 +-          3.05663
       140         150   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    48.91933 +-          0.11474
       140         150   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            509.59323 +-          0.53933
       140         150   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                            807.11024 +-          3.79341
       140         150   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -195.89686 +-          1.09492

       140         150   0.2             dNNLO.QCD                                                              1167.14531 +-          4.93399
---------------------------------------------------------------------------------------------------------------------------------------------------
       140         150   0.2             NNLO.QT-CS.42                 woVT2                                           -2.58064 +-          2.90713
       140         150   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    48.91933 +-          0.11474
       140         150   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            509.59323 +-          0.53933
