# pt_bbZ-ptj120        central        num_err    min (scale)        num_err    max (scale)        num_err
            950   0.0022970472   0.0013261345   0.0015823032  0.00092024301   0.0034718504   0.0020247978
            955   0.0015313779   0.0018754053   0.0012376773    0.003003364   0.0015666338   0.0016827228
            960   0.0045942913   0.0018755178   0.0033067913     0.00135954   0.0065290551   0.0026964548
            965   0.0038283858   0.0017120206    0.002615256   0.0011803978   0.0058356496   0.0026442583
            970   0.0030916339   0.0015459423   0.0026692126    0.001380577   0.0032788366   0.0018854932
            975 -5.9025591e-08   0.0010827518  -0.0002005315   0.0020498078  8.9370098e-05  0.00059067669
            980  0.00085596453   0.0017542583 -0.00098858279   0.0029112488   0.0014716575   0.0012825593
            985     0.00536187   0.0022976474   0.0044181693   0.0017682566    0.006284193   0.0031376107
            990   0.0015315354   0.0015313604   0.0013899804   0.0010638122   0.0015993702   0.0017157257
            995   0.0022970669   0.0013261459   0.0016330118  0.00094391843   0.0033172047   0.0019186603
           1000   0.0022970669   0.0013261459   0.0016330118  0.00094391843   0.0033172047   0.0019186603
