#          pt_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
            910 -0.00027521655   0.0012921288 -0.00054767726   0.0019966129 -0.00012986217  0.00086541042
            915   0.0053598228   0.0020257213   0.0041272638   0.0015682559   0.0070122244   0.0026794589
            920   0.0048696063   0.0022755781   0.0035454921   0.0015304356   0.0068757678   0.0035552749
            925   0.0012542913   0.0022486958 -0.00010145676   0.0034573099   0.0017027401   0.0016407849
            930   0.0025895276   0.0018610793   0.0024229724   0.0014583572   0.0026226378   0.0020055735
            935   0.0022970472   0.0013261345   0.0016919094  0.00097958154   0.0031973425   0.0018545296
            940   0.0016525197   0.0022426681   0.0013939173   0.0016515847   0.0019615551   0.0031712277
            945    0.021665748     0.01756227    0.014811339    0.011708628    0.032817048     0.02723141
            950   0.0022970275   0.0013261232   0.0015569488  0.00089903346    0.003511122   0.0020276065
            955   0.0022494882   0.0021998059   0.0020473819   0.0016051102   0.0023738582   0.0028851836
            960   0.0038761023   0.0017338819   0.0028261417   0.0012667399   0.0054786811   0.0024622517
            965   0.0067024212   0.0024072898   0.0046409055   0.0016869369    0.010052697   0.0036037107
            970   0.0016166339   0.0015756377   0.0014628346   0.0028659422   0.0016223228   0.0013746327
            975   0.0010862992   0.0010862449  0.00085433074  0.00085428802   0.0013958267   0.0013957569
            980   0.0023440944   0.0013538418   0.0015118307  0.00087384401   0.0037881298   0.0021878017
            985   0.0022973622   0.0017121614   0.0017778719   0.0025476266   0.0023087992   0.0014622728
            990  0.00076570864   0.0013261345  0.00052968512   0.0020249972  0.00081265749    0.001197425
            995   0.0032599606   0.0023011692   0.0026713386   0.0016795658   0.0038750197   0.0033425968
           1000   0.0032599606   0.0023011692   0.0026713386   0.0016795658   0.0038750197   0.0033425968
