             bin (y_W)   qTcut           order/list                                                                 dsigma +-            error

      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                  0.06822682 +-       0.00434099
      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           0.69023809 +-       0.01615870
      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           0.92733627 +-       0.09728657
      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                          -0.11435686 +-       0.01596739

      -4.8        -4.7   0.25            dNNLO.QCD                                                              3.79535681 +-       0.14072375
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.8        -4.7   0.25            NNLO.QT-CS.42                 woVT2                                         2.22391248 +-       0.09901310
      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                  0.06822682 +-       0.00434099
      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           0.69023809 +-       0.01615870
      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           0.92733627 +-       0.09728657
      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                          -0.11435686 +-       0.01596739

      -4.8        -4.7   0.5             dNNLO.QCD                                                              3.68695260 +-       0.13665718
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.8        -4.7   0.5             NNLO.QT-CS.42                 woVT2                                         2.11550827 +-       0.09314292
      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                  0.06822682 +-       0.00434099
      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           0.69023809 +-       0.01615870
      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           0.92733627 +-       0.09728657
      -4.8        -4.7   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                          -0.11435686 +-       0.01596739

===================================================================================================================================================

      -4.7        -4.6   extrapolation   dNNLO.QCD                                                                   8.31377691 +-       0.30298390
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.7        -4.6   extrapolation   NNLO.QT-CS.42                 woVT2                                         4.48163216 +-       0.23450889
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                  0.15044972 +-       0.00697498
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           1.47179530 +-       0.02441670
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           2.47257470 +-       0.18871887
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                          -0.26267497 +-       0.02334924

      -4.7        -4.6   0.01            dNNLO.QCD                                                              8.40282395 +-       0.34385755
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.7        -4.6   0.01            NNLO.QT-CS.42                 woVT2                                         4.57067920 +-       0.28536501
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                  0.15044972 +-       0.00697498
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           1.47179530 +-       0.02441670
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           2.47257470 +-       0.18871887
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                          -0.26267497 +-       0.02334924

      -4.7        -4.6   0.05            dNNLO.QCD                                                              8.23811601 +-       0.26819911
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.7        -4.6   0.05            NNLO.QT-CS.42                 woVT2                                         4.40597125 +-       0.18741915
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                  0.15044972 +-       0.00697498
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           1.47179530 +-       0.02441670
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           2.47257470 +-       0.18871887
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                          -0.26267497 +-       0.02334924

      -4.7        -4.6   0.1             dNNLO.QCD                                                              8.39185611 +-       0.25741156
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.7        -4.6   0.1             NNLO.QT-CS.42                 woVT2                                         4.55971135 +-       0.17162717
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                  0.15044972 +-       0.00697498
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           1.47179530 +-       0.02441670
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           2.47257470 +-       0.18871887
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                          -0.26267497 +-       0.02334924

      -4.7        -4.6   0.15            dNNLO.QCD                                                              8.37188842 +-       0.25257834
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.7        -4.6   0.15            NNLO.QT-CS.42                 woVT2                                         4.53974367 +-       0.16428935
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                  0.15044972 +-       0.00697498
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           1.47179530 +-       0.02441670
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           2.47257470 +-       0.18871887
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                          -0.26267497 +-       0.02334924

      -4.7        -4.6   0.2             dNNLO.QCD                                                              8.37689099 +-       0.24896527
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.7        -4.6   0.2             NNLO.QT-CS.42                 woVT2                                         4.54474624 +-       0.15867855
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                  0.15044972 +-       0.00697498
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           1.47179530 +-       0.02441670
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           2.47257470 +-       0.18871887
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                          -0.26267497 +-       0.02334924

      -4.7        -4.6   0.25            dNNLO.QCD                                                              8.32010704 +-       0.24720280
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.7        -4.6   0.25            NNLO.QT-CS.42                 woVT2                                         4.48796228 +-       0.15589868
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                  0.15044972 +-       0.00697498
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           1.47179530 +-       0.02441670
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           2.47257470 +-       0.18871887
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                          -0.26267497 +-       0.02334924

      -4.7        -4.6   0.5             dNNLO.QCD                                                              8.23969009 +-       0.24064663
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.7        -4.6   0.5             NNLO.QT-CS.42                 woVT2                                         4.40754534 +-       0.14527895
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                  0.15044972 +-       0.00697498
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           1.47179530 +-       0.02441670
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           2.47257470 +-       0.18871887
      -4.7        -4.6   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                          -0.26267497 +-       0.02334924

===================================================================================================================================================

      -4.6        -4.5   extrapolation   dNNLO.QCD                                                                   16.2502145 +-        0.4074328
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.6        -4.5   extrapolation   NNLO.QT-CS.42                 woVT2                                          8.4934571 +-        0.2852680
      -4.6        -4.5   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                   0.2979093 +-        0.0087422
      -4.6        -4.5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            2.8566776 +-        0.0335045
      -4.6        -4.5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                            5.2386195 +-        0.2851020
      -4.6        -4.5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -0.6364490 +-        0.0462766

      -4.6        -4.5   0.01            dNNLO.QCD                                                              16.1403893 +-        0.4704367
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.6        -4.5   0.01            NNLO.QT-CS.42                 woVT2                                          8.3836319 +-        0.3697122
      -4.6        -4.5   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                   0.2979093 +-        0.0087422
      -4.6        -4.5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            2.8566776 +-        0.0335045
      -4.6        -4.5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                            5.2386195 +-        0.2851020
      -4.6        -4.5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -0.6364490 +-        0.0462766

      -4.6        -4.5   0.05            dNNLO.QCD                                                              16.2606093 +-        0.3717713
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.6        -4.5   0.05            NNLO.QT-CS.42                 woVT2                                          8.5038519 +-        0.2314957
      -4.6        -4.5   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                   0.2979093 +-        0.0087422
      -4.6        -4.5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            2.8566776 +-        0.0335045
      -4.6        -4.5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                            5.2386195 +-        0.2851020
      -4.6        -4.5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -0.6364490 +-        0.0462766

      -4.6        -4.5   0.1             dNNLO.QCD                                                              16.0489354 +-        0.3560717
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.6        -4.5   0.1             NNLO.QT-CS.42                 woVT2                                          8.2921781 +-        0.2053373
      -4.6        -4.5   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                   0.2979093 +-        0.0087422
      -4.6        -4.5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            2.8566776 +-        0.0335045
      -4.6        -4.5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                            5.2386195 +-        0.2851020
      -4.6        -4.5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -0.6364490 +-        0.0462766

      -4.6        -4.5   0.15            dNNLO.QCD                                                              16.0100074 +-        0.3481271
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.6        -4.5   0.15            NNLO.QT-CS.42                 woVT2                                          8.2532501 +-        0.1912298
      -4.6        -4.5   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                   0.2979093 +-        0.0087422
